Make,AveHWY,AveCity
Acura,31.2,23
Alfa Romeo,30.1,20.5
Aston Martin,18.4,12
Audi,28,19.4
BMW,36,35.56
Bentley,20.2,12.5
Buick,28.2,20.33
Cadillac,24,18
Chevrolet,36,34.86
Chrysler,29,19.67
Dodge,24,15.6
Ferrari,19,14
Fiat,29.8,31.8
Ford,34.7,30.88
GMC,25,18.25
Genesis,24.3,16.33
Honda,34.8,26
Hyundai,31,31
Infiniti,27.3,20.5
Jaguar,30,21
Jeep,22,18
Kia,32,29
Lamborghini,20,12
Land Rover,23,18.25
Lexus,27,23.6
Lincoln,25.4,19.5
Lotus,22,17
MINI,32.3,24
Maserati,23,15
Mazda,34.5,26.5
McLaren Automotive,22.7,16
Mercedes-Benz,32,31.2
Mitsubishi,30.1,28
Nissan,35,37.67
Porsche,22,18
Ram,22.4,17.33
Rolls-Royce,19.2,15
Roush Performance,22.6,14
Subaru,28,22
Toyota,25,22
Volkswagen,27.76,21
Volvo,31,22.5